sp323,0
sp532,0
sp533,0
sp17,0
sp277,0
sp278,0
sp78,0
sp476,0
sp477,0
sp464,0
sp465,0
sp375,0
sp333,0
sp334,0
sp225,0
sp280,0
sp281,0
sp274,0
sp275,0
sp153,0
sp154,0
sp417,1
sp418,1
sp125,1
sp398,1
sp399,1
sp420,1
sp513,1
sp514,1
sp301,0
sp302,1
sp409,1
sp552,1
sp553,1
sp405,1
sp254,1
sp71,1
sp171,1
sp172,1
sp364,1
sp365,1
sp92,0
sp49,0
sp305,0
sp317,0
sp318,0
sp43,0
sp158,1
sp355,1
sp356,1
sp164,1
sp165,1
sp441,0
sp442,0
sp104,1
sp38,0
sp183,0
sp51,0
sp234,1
sp282,1
sp283,1
sp528,0
sp529,0
sp166,0
sp184,0
sp300,1
sp380,0
sp388,1
sp389,1
sp296,0
sp297,0
sp265,0
sp292,0
sp518,1
sp519,1
sp21,0
sp370,0
sp371,0
sp163,0
sp107,0
sp250,0
sp251,0
sp122,0
sp141,1
sp287,0
sp288,0
sp65,0
sp252,0
sp198,0
sp263,0
sp264,0
sp62,1
sp66,0
sp81,0
sp279,1
sp496,1
sp497,1
sp244,1
sp55,0
sp331,0
sp332,0
sp238,0
sp504,0
sp505,0
sp79,0
sp472,0
sp473,0
sp108,0
sp294,0
sp295,0
sp56,0
sp492,0
sp493,0
sp303,0
sp304,0
sp118,0
sp136,1
sp556,1
sp557,1
sp433,1
sp434,1
sp221,1
sp220,0
sp344,1
sp345,0
sp515,0
sp534,0
sp535,0
sp6,0
sp359,0
sp500,0
sp501,0
sp349,0
sp350,1
sp162,0
sp298,0
sp299,1
sp44,0
sp189,0
sp190,1
sp176,0
sp321,0
sp322,0
sp484,0
sp485,0
sp319,0
sp341,0
sp346,0
sp347,0
sp425,0
sp426,0
sp272,0
sp273,0
sp314,0
sp458,1
sp459,1
sp396,1
sp397,1
sp201,1
sp311,1
sp550,1
sp551,1
sp395,1
sp454,1
sp455,1
sp554,1
sp555,1
